Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.25,1.41,11.94,5.35,0.07,6.37,3.05,2.08,5.59,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.19,1.33,11.14,5.9,0.09,9.55,2.99,1.2,6.42,0.86,633,498,1458,26.5,16.2,113.2,625.1,,438.1,,,25.9,596.2,39.6,16.35,2.44,70.35,199.25,26.17,117.03,22.5,3.7,12.15,,6.04,,2.4,,2.1,0.31,64.32,80.89,20.56,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.93,1.36,10.67,5.82,0.08,10.21,2.49,1.71,5.91,0.85,636,454,1372,29.7,16.7,94.5,545.1,,449.9,,,25.8,694.4,37.7,19.36,2.16,72.68,184.63,25.79,121.25,23.93,3.81,12.2,,5.82,,2.4,,2.05,0.31,65,88.97,21,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.71,1.48,12.09,5.16,0.06,5.69,3.26,0.95,8.53,1.01,519,438,1315,15.6,16.7,94.1,428,,149.5,,,23.8,688,36.6,18.56,2.07,72.95,191.54,27.57,130.01,25.6,4.19,12.3,,5.64,,2.06,,1.86,0.27,51,98,22.11,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,75,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,65.51,0.85,14.26,3.64,0.04,2.62,3.15,1.82,7.58,0.9,388,523,1966,17.3,,86,395,4,48,,64,18,356,17,9,1.1,59.4,143.1,19.3,84.2,17.3,3,10.5,1.2,4.9,,1.8,0.2,1.5,0.2,96.7,68.4,16.5,26
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.6,1.75,9.52,5.66,0.07,13.3,2.87,0.69,8.86,0.95,173,555,,,,,,,,,,,,,,,,,,90,18.7,,,,,,,,,,,85,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,59.29,0.81,14.45,4.71,0.06,5.45,3.1,2.41,4.81,0.88,291,446,1889,,16,90,334,23,163,23,80,24,315,24,,,59.2,146,,83.3,17.4,3.3,10.5,,4.9,,1.8,,1.5,0.2,113,64,12.7,25
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,60.51,0.88,13.5,4.4,0.05,6.09,2.5,2.27,5.61,0.94,344,478,1931,,15,79,403,27,217,23,74,27,373,28,,,60.2,152,,88.7,18.6,3.55,11,,5.15,,1.86,,1.57,0.25,117,68,14.5,22
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,59.46,1.53,12.04,5.61,0.08,10.9,3.11,3.03,4,0.79,535,443,1516,46.8,,97,987,19,210,,79,19,575,34,19.2,2.5,93.6,250,35.2,149.4,27,4.1,14.3,1.4,5.3,,2,0.3,1.6,0.2,58.5,90.3,20.7,21
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,66.49,0.78,14.22,5.85,0.09,1.53,3.12,1.68,6.02,0.79,271,567,1969,37,,114,179,8,44,,413,22,265,22,6.1,1.8,118,244.7,28.4,107.9,19,2.5,11.9,1.3,5.7,,2.3,0.3,1.8,0.2,117.7,90,21.8,18
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,52.22,1.27,10.45,4.83,0.07,6.99,7.06,3.35,2.88,0.69,385,451,1434,,,76,456,26,378,,61,23,671,40,18.8,2.7,94.8,243.1,,154.1,26.6,4.1,13.8,1.3,5.2,,1.8,0.3,1.6,0.2,57.7,85.5,19.5,18
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,523,,,14.56,85.9,11.29,4.28,44.58,19.05,28.72,24.43,,,,,,266.87,,,,,,,,,,,,,,,,46.13
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,463,,,19.98,97.55,747.97,35.42,265.87,23.34,77.45,21.64,,,,,,215.44,,,,,,,,,,,,,,,,35.96
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,375,,,11.85,60.46,52.74,11.05,110.76,10.95,53.89,17.85,,,,,,218.23,,,,,,,,,,,,,,,,72.31
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,455,,,23.24,81.47,66.74,8.6,78.69,24.22,28.97,25.02,,,,,,237.87,,,,,,,,,,,,,,,,81.66
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,477,,,11.83,62.45,12.94,4.4,42.05,17.71,39.06,25.07,,,,,,355.66,,,,,,,,,,,,,,,,67.33
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,423,,,10.56,52.84,29.73,3.41,88.91,7.02,30.78,17.42,,,,,,217.67,,,,,,,,,,,,,,,,67.91
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.3,1.33,10.69,5.12,0.07,9.63,3,2.87,3.35,0.69,435,402,1377,60,16.8,99.2,882.7,,468.1,,,20.4,638.1,43.2,17.67,3,85.95,243.77,32.32,140.95,24.12,3.75,12.35,,4.92,,1.81,,1.5,0.22,55,83.08,20.07,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,60.13,1.59,12.3,3.55,0.05,2.52,3.3,3.45,3.4,0.86,548,617,2095,337.9,18.5,113.8,875.8,,152.9,,,24.3,798.9,54.4,22.07,3.78,121.75,332.37,44,189.76,32.92,4.94,15.5,,6.01,,2.1,,1.69,0.25,265.97,114.3,27.99,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,59.94,1.52,12.93,3.74,0.05,1.97,3.09,1.05,8.67,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,52.08,1.3,10.34,4.93,0.07,8.36,3.96,2.16,4.8,0.67,400,433,1296,43.6,14.6,88,637,,389,,,19.9,570.3,37.2,15.92,2.59,87.23,235.96,32.38,140.66,24.89,3.84,12.06,,4.85,,1.76,,1.49,0.21,,76.92,18.41,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.59,0.43,13.1,7.1,0.13,7.21,8.9,1.81,1.26,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,205,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,65.01,0.73,13.17,3.4,0.04,2.66,2.21,1.76,6.93,0.54,466,324,921,27.6,11.5,61.1,170.8,,68.9,,,18.1,378.2,49.4,11.08,4.75,51.48,126.23,17.03,74.56,14.05,2.34,7.89,,4.25,,1.55,,1.34,0.19,61.69,58.28,18.55,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,65.32,0.66,13.5,3.27,0.04,2.48,2.04,2.08,6.19,0.51,480,441,2762,32.6,11.9,54.7,148.3,,47.4,,,18.2,356.9,33.3,10.34,3.09,45.8,113.68,14.77,63.69,12.44,2.18,7.33,,4.17,,1.58,,1.31,0.19,63,52.93,17.7,
