Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,44.59,8.13,6.17,8.43,0.1,10.36,4.15,0.64,8.91,1.98,694,1722,11273,,18,242,665,,356,67,107,38,2611,308,,,716,1734,,695,,,,,,,,,,,101,102,11,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,44.68,6.84,5.78,7.16,0.08,11.5,4.05,0.72,6.53,1.37,666,1897,22076,,12,178,521,,443,58,85,33,2102,254,,,336,719,,377,,,,,,,,,,,77,55,7,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49,5.85,6.2,6.7,0.07,11.2,3.47,0.83,7.73,1.74,342,1640,7149,,21,162,406,35,857,66,85,15,1926,151,,,385,718,,,,,,,,,,,,,48,35,2,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,45.6,6.65,6.6,8.25,0.11,10.3,3.87,0.38,9.83,2.07,649,1875,21947,,23,124,419,44,156,90,101,29,1831,276,,,520,510,,,,,,,,,,,,,80,59,1,10
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.2,5.31,8.2,6.78,0.08,6,2.99,0.69,9.95,1.71,259,996,15.461,,18,178,320,34,342,38,66,19,1467,116,,,386,570,,,,,,,,,,,,,58,27,1,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.4,5.54,8.5,6.25,0.05,6.69,2.32,0.43,10.8,1.41,318,1254,5716,,17,278,283,37,522,46,74,18,1633,129,,,435,749,,,,,,,,,,,,,75,28,2,19
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.2,5.87,7.1,5.78,0.06,7.11,2.36,0.1,9.74,1.83,404,1625,8002,,18,236,199,24,325,60,90,34,1939,138,,,488,767,,,,,,,,,,,,,85,33,2,21
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.5,5.72,7,5.61,0.07,7.39,2.61,0.7,10,1.37,315,1930,12059,,17,160,234,32,249,83,108,19,1865,135,,,441,789,,,,,,,,,,,,,68,27,2,19
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.4,5.65,6.5,5.78,0.06,7.88,2.38,0.49,10.4,1.25,341,1861,15264,,15,153,201,39,285,42,73,19,1784,132,,,473,769,,,,,,,,,,,,,78,32,3,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.5,7.36,5.7,7.53,0.13,11,2.68,0.28,8.48,1.44,550,1600,7970,,25,520,300,50,380,70,94,40,1800,300,,,600,950,,,,,,,,,,,,,100,30,4,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,42.5,4.63,4.3,8.6,0.13,17.7,4.6,0.88,4.34,1.44,538,1613,4906,,27,56,952,58,600,56,96,29,1371,259,,,511,669,,,,,,,,,,,,,80,98,4,4
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,45,3.2,4,7.11,0.14,16,4.91,0.3,6.56,2.71,400,1700,17020,,20,287,450,60,640,45,72,27,1200,150,,,450,700,,,,,,,,,,,,,80,60,10,2
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,37.7,3.81,3.2,8.5,0.12,24.6,3.84,0.43,5.69,1.66,554,1491,8071,,26,122,1214,75,1068,52,75,17,1470,181,,,512,926,,,,,,,,,,,,,58,64,1,4
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,42.2,3.41,3.6,8.12,0.12,23,4.55,0.47,4.89,1.64,383,1455,11986,,22,205,1076,73,967,65,74,16,1244,166,,,449,783,,,,,,,,,,,,,53,52,1,4
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,38,3.54,2.9,8.42,0.13,25,3.9,0.49,5.26,1.81,607,1430,7317,,25,47,1149,74,1117,48,71,14,1378,175,,,471,888,,,,,,,,,,,,,59,62,2,5
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,38.7,3.89,3.7,8.52,0.12,22,4.16,1.05,3.63,1.49,392,1271,16187,,21,83,859,71,931,50,66,13,1163,159,,,393,622,,,,,,,,,,,,,42,43,4,3
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,41.52,2.68,3.54,8.9,0.13,26.9,4.38,0.36,4.1,0.62,386,959,10093,,18,46,1250,81,1500,55,90,16,564,118,,,185,261,,,,,,,,,,,,,20,18,,5
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.26,5.41,7.27,6.6,0.1,8.29,2.56,0.45,7.74,0.64,1459,1075,31447,,18,139,316,42,390,145,88,19,1238,123,,,308,368,,,,,,,,,,,,,50,14,1,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,36.81,3.33,4.01,9.82,0.14,23.4,5.8,0.47,4.74,2.85,751,1341,13465,,23,40,1084,83,1200,65,84,19,723,224,,,372,742,,,,,,,,,,,,,20,58,,7
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,40.43,3.31,4.48,9.13,0.14,21.6,5.67,0.6,4.95,1.6,500,1284,27674,,22,49,888,77,930,70,92,19,807,232,,,366,591,,,,,,,,,,,,,50,68,4,5
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,40.6,3.06,4.5,8.93,0.14,22.6,5.31,0.74,3.7,1.41,500,1075,23990,,17,84,874,66,899,60,71,14,777,197,,,396,556,,,,,,,,,,,,,42,51,1,2
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,40,3.19,4.2,8.94,0.14,22.7,5.16,0.31,3.16,1.62,447,1124,12825,,22,97,916,66,909,57,72,16,843,199,,,400,680,,,,,,,,,,,,,48,57,3,5
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,44.1,3.2,3.5,7.93,0.12,21.3,3.74,0.93,6.51,1.13,494,943,9416,,20,195,816,64,888,50,66,19,902,168,,,427,767,,,,,,,,,,,,,51,72,2,6
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,39.9,3.48,3.9,8.55,0.13,22.1,5.15,0.58,4.12,1.66,526,1359,12286,,21,68,855,64,881,52,72,17,958,188,,,437,763,,,,,,,,,,,,,50,68,3,4
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,44.6,5.94,7.2,11.45,0.09,6.28,3.41,0.21,6.55,2.47,373,1296,9954,,45,321,799,37,578,74,91,29,1914,283,,,648,1173,,,,,,,,,,,,,63,72,2,10
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,43.3,5.23,6.5,8.1,0.07,9.69,4.25,0.29,5.86,1.57,261,1140,9048,,25,503,540,23,540,59,82,17,1129,180,,,335,600,,,,,,,,,,,,,38,53,2,7
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,42.22,4.92,5.61,9.11,0.1,13.49,5.54,0.62,4.37,1.67,527,1833,24572,,17,158,830,,606,54,86,37,1525,309,,,419,760,,,,,,,,,,,,,84,83,10,12
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.84,5.62,7.76,8.17,0.07,7.84,4.74,0.79,8.67,0.89,331,1398,18.069,,20,179,302,45,240,120,104,21,1287,154,,,285,491,,,,,,,,,,,,,400,31,2,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,55,5.67,7.3,5.58,0.03,6.04,2.51,0.35,8.53,1.24,1060,1538,11485,,14,176,173,35,258,84,84,14,1371,94,,,304,463,,,,,,,,,,,,,67,24,2,17
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52,5.38,7.6,6.4,0.05,7.89,2.52,0.58,9.28,1.02,238,1084,8325,,17,221,341,46,609,89,96,16,1280,93,,,323,463,,,,,,,,,,,,,56,17,1,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.6,6.86,6.8,7.15,0.07,9.37,2.93,0.35,9.15,0.7,398,1078,11968,,18,143,663,40,228,86,78,21,1491,136,,,324,386,,,,,,,,,,,,,40,26,1,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,60.5,0.62,15.1,3.24,0.01,1.27,1.76,0.1,14.05,0.09,424,82,6113,,15,97,79,,,26,30,16,186,13,,,165,115,,,,,,,,,,,,,40,18,1,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49,3.79,7.4,7.37,0.06,9.03,4.33,0.55,6.6,1.52,192,1601,11523,,21,170,523,,,500,80,28,1079,167,,,552,783,,,,,,,,,,,,,90,52,4,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.47,5.67,7.38,7.52,0.09,9.12,4.15,0.44,8.8,0.75,341,777,11253,,,204,490,33,235,70,78,15,1225,166,,,245,355,,,,,,,,,,,,,37,27,3,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,55.06,5.78,6.9,7.59,0.08,6.85,3.33,0.47,8.37,0.96,328,835,9660,,,240,408,32,181,70,76,16,1233,181,,,212,325,,,,,,,,,,,,,31,27,4,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.11,5.9,8.96,6.41,0.05,5.78,1.98,0.08,11.67,1.51,245,1416,8.565,,,614,266,,241,36,87,19,1147,117,,,317,450,,,,,,,,,,,,,57,23,1,24
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.6,6.14,7.6,7.33,0.09,6.95,3.88,1,9.36,0.91,338,1196,16710,,21,148,255,30,143,88,89,18,1250,122,,,295,303,,,,,,,,,,,,,40,16,,12
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.7,5.42,7.9,7.33,0.08,8.82,3.3,0.88,8.78,0.69,219,924,10089,,20,160,445,38,749,98,70,13,989,108,,,269,290,,,,,,,,,,,,,26,18,,15
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.1,6.82,8.6,8.27,0.1,5.9,3.13,0.19,8.92,1.38,287,1040,16411,,27,315,449,47,318,94,94,19,1192,150,,,351,400,,,,,,,,,,,,,52,27,1,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.67,4.17,8.92,6.42,0.08,9.09,3.73,0.27,8.4,0.93,512,1038,7158,,,153,220,,337,38,61,7,927,81,,,172,266,,,,,,,,,,,,,33,17,1,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,47.72,6.67,8.81,8.61,0.06,5.53,2,0.06,9.66,1.49,446,1120,7222,,,303,635,,475,56,87,36,1618,227,,,637,1028,,420,,,,,,,,,,,78,64,5,22
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,48.4,5.14,8.03,7.31,0.07,8.65,6.99,0.36,7.78,1.15,316,1139,11516,,,109,291,,158,58,80,20,1167,148,,,201,261,,,,,,,,,,,,,40,30,3,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.91,4.94,7.66,7,0.1,7.14,6.37,0.61,8.21,1.2,293,1130,5245,,12,125,258,,160,46,67,19,1026,130,,,174,225,,107,,,,,,,,,,,35,26,1,12
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,46.85,6.81,9.3,9.81,0.1,4.8,2.6,0.25,10.58,1.6,271,914,14445,,18,255,375,,121,38,69,30,1301,167,,,311,410,,223,,,,,,,,,,,45,35,4,16
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.45,5.43,6.98,6.9,0.1,9.19,4.38,0.47,9.36,0.61,182,1104,6084,,10,198,440,,512,44,73,18,1102,102,,,229,461,,141,,,,,,,,,,,34,23,,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49,5.25,6.76,6.57,0.06,10.07,4,0.27,7.33,1.01,135,1084,7542,,11,163,436,,496,50,79,21,1240,134,,,218,390,,159,,,,,,,,,,,44,21,3.5,21
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.14,5.35,7.51,7.53,0.1,7.78,6.26,0.5,8.51,1.17,525,1192,9401,,11,214,280,,246,58,77,17,1066,134,,,214,291,,157,,,,,,,,,,,35,28,1,15
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.3,6.63,8,7.45,0.12,7.47,2.88,0.52,10.25,1.01,228,1111,4461,,20,186,366,36,381,92,82,23,1270,131,,,371,469,,,,,,,,,,,,,60,16,1,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,48.68,4.64,6.44,6.06,0.1,16.19,3.28,0.74,7.26,0.48,143,954,6148,,10,143,677,,528,52,62,17,1042,107,,,197,357,,137,,,,,,,,,,,39,18,3,20
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.44,5.73,7.05,6.42,0.07,9.97,3.4,0.71,8.66,0.56,177,1174,14094,,11,171,468,,417,66,67,19,1263,141,,,246,449,,221,,,,,,,,,,,51,23,3,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.2,6.86,8.1,7.05,0.05,7.29,2.32,0.13,10.68,1.19,267,1285,5534,,23,231,360,38,628,104,77,15,1199,119,,,331,430,,,,,,,,,,,,,58,24,1,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.3,6.71,8.9,7.94,0.08,6.18,1.83,0.12,11.61,1.49,262,1099,5871,,23,375,224,33,277,76,86,22,1167,124,,,348,507,,,,,,,,,,,,,73,23,1,24
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50,7.16,9.5,7.63,0.05,5.24,2.51,0.06,10.82,1.93,273,731,7699,,22,282,276,23,190,71,85,34,1206,136,,,434,528,,,,,,,,,,,,,83,21,2,25
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,49.95,6.45,7.12,6.37,0.09,9.27,3.24,0.68,9,0.72,268,1420,14027,,8,245,400,,349,64,68,15,1214,110,,,286,560,,175,,,,,,,,,,,43,20,1,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.8,6.65,7.4,6.42,0.08,8.48,3.35,0.88,9.26,0.62,275,1420,12763,,12,232,433,,453,78,77,21,1399,147,,,296,539,,258,,,,,,,,,,,55,23,3,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.1,5.89,8.6,6.7,0.08,7.77,2.56,0.64,10.7,0.62,284,1393,11723,,17,159,231,31,318,94,101,18,1030,114,,,351,459,,,,,,,,,,,,,71,21,1,19
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.9,6.23,7.9,6.69,0.07,5.54,1.81,0.38,10.47,1.41,380,1530,8530,,15,234,347,,275,54,85,27,1493,177,,,411,778,,284,,,,,,,,,,,90,28,3.5,34
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.1,7.02,8.9,7.39,0.06,6.62,1.88,0.22,11.45,1.45,381,1337,6351,,23,180,220,29,300,72,86,27,1217,139,,,419,585,,,,,,,,,,,,,73,22,2,24
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.75,5.68,7.59,6.31,0.07,9.18,3.7,0.92,8.69,0.53,243,1254,8167,,12,178,461,,354,70,64,19,1235,118,,,228,419,,182,,,,,,,,,,,39,22,2,16
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.6,6.18,7.95,7.1,0.07,7.09,4,0.61,9.67,0.65,203,1190,11190,,14,188,506,,443,75,63,21,1311,134,,,242,437,,218,,,,,,,,,,,44,23,2,21
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.3,5.14,8.9,7.12,0.05,7.21,1.88,0.22,8.87,1.07,224,1269,10193,,19,191,292,20,700,100,85,19,1030,103,,,381,420,,,,,,,,,,,,,70,18,,19
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.5,6.53,7.9,7.01,0.08,7.28,3.57,0.65,9.42,0.85,237,1190,9832,,16,164,255,32,280,95,80,16,1029,91,,,298,308,,,,,,,,,,,,,42,19,1,16
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.61,5.66,9.85,7.01,0.11,4.99,2.13,0.67,11.22,0.72,322,1033,10105,,,282,296,30,263,51,77,18,1215,129,,,409,552,,,,,,,,,,,,,71,25,3,23
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.9,5.26,9.6,7.54,0.08,4.79,2.34,0.61,10.3,0.81,252,1085,6652,,17,185,267,35,450,85,93,17,1014,106,,,342,479,,,,,,,,,,,,,80,17,,23
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.9,5.16,9.4,7.07,0.07,5.86,2.96,0.2,10.5,1.99,277,1229,7265,,16,203,267,35,320,85,79,23,1108,112,,,418,548,,,,,,,,,,,,,90,23,2,23
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.2,5.92,8.4,7.3,0.07,6.63,2.67,0.36,9.7,0.97,305,1086,11666,,17,186,246,30,540,110,84,16,1103,98,,,337,403,,,,,,,,,,,,,60,17,,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.7,6.11,8.8,7.84,0.09,5.92,3.32,0.74,9.27,0.79,313,1057,12363,,19,169,226,35,370,120,79,20,1129,94,,,317,394,,,,,,,,,,,,,60,16,,15
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.47,6.43,8.27,7.25,0.09,5.38,2.95,0.68,10.36,0.66,236,1166,9509,,11,165,317,,179,69,100,17,1107,100,,,235,332,,174,,,,,,,,,,,38,23,2,14
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.13,5.6,8.13,6.95,0.1,7,3.5,1.07,9.79,0.39,192,1119,8758,,12,154,265,,380,69,69,16,1007,95,,,197,291,,146,,,,,,,,,,,32,20,2,12
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.42,6.36,8.04,7.05,0.09,6.63,3.48,0.73,10.29,0.55,248,1191,9622,,15,213,396,,342,86,85,22,1300,132,,,241,446,,210,,,,,,,,,,,44,23,3,21
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.47,7.73,7.92,6.6,0.06,6.07,3.06,0.29,10.41,0.58,374,1369,11233,,14,162,367,,304,78,70,21,1591,148,,,250,459,,239,,,,,,,,,,,51,21,3,17
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.01,7.71,8.11,6.55,0.06,5.81,2.95,0.25,10.85,0.57,351,1238,14678,,13,163,366,,316,75,66,20,1595,146,,,266,489,,283,,,,,,,,,,,49,21,2.5,24
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.96,5.67,8.3,6.6,0.06,6.24,1.94,0.43,11.42,1.18,308,1712,8678,,13,296,475,,339,62,87,31,1354,177,,,436,764,,268,,,,,,,,,,,95,27,4,28
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,48.18,5.27,6.65,7.06,0.07,11.65,3.12,0.43,7.45,1.04,252,1398,9001,,11,167,772,,519,49,78,25,1234,164,,,233,365,,176,,,,,,,,,,,56,25,3,15
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.24,6.13,8.36,6.33,0.07,7.47,3.67,0.8,9.96,0.96,296,1466,15896,,14,229,308,,267,74,69,21,1346,168,,,259,479,,267,,,,,,,,,,,50,27,4,17
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,44.89,4,6.13,6.8,0.1,13.88,3.64,0.44,5.79,0.27,543,812,32132,,8,116,836,,439,34,65,7,1057,105,,,441,649,,231,,,,,,,,,,,9,37,2,11
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,40.23,4.15,5.74,7.85,0.11,17.29,3.89,0.38,7.78,2.44,582,1223,15312,,14,103,,,518,48,77,9,1598,107,,,148,177,,123,,,,,,,,,,,25,23,2,11
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,48.5,5.24,6.1,9.25,0.11,9.77,5.52,0.98,8.28,1.03,395,1600,19754,,24,50,213,,290,130,100,19,1928,135,,,283,277,,,,,,,,,,,,,50,21,,12
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,47.32,5.49,5.54,8.67,0.13,11.08,5.78,0.73,8.73,1.25,452,1614,19640,,15,124,413,,281,86,89,18,2320,143,,,154,259,,82,,,,,,,,,,,39,25,3,9
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.17,4.75,8.64,5.95,0.09,7.73,2.92,0.52,10.73,1.31,272,1501,11419,,,164,198,,289,42,64,18,932,969,,,219,298,,,,,,,,,,,,,52,14,2,13
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.3,5.05,8,6.63,0.07,6.65,2.97,0.6,8.73,0.65,168,1417,22102,,17,188,253,30,490,100,81,18,969,104,,,421,417,,,,,,,,,,,,,60,18,,16
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51,6.09,8.54,6.77,0.08,5.74,2.24,0.5,11.76,1.27,293,1734,16244,,14,288,345,,116,67,108,31,1446,181,,,450,801,,344,,,,,,,,,,,94,29,3,34
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.33,6.35,8.91,7.23,0.09,5.14,1.62,0.32,12.05,1.03,278,811,18290,,15,271,340,,233,62,94,32,1427,194,,,496,856,,363,,,,,,,,,,,101,30,3,35
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,50.56,6.44,7.89,7.22,0.08,8.42,3.83,0.95,10.08,0.37,330,1382,13245,,14,200,422,,372,70,76,24,1264,140,,,277,501,,245,,,,,,,,,,,55,25,3,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,53.06,6.28,8.41,6.42,0.08,6.44,3.38,0.8,9.86,0.53,318,1379,10271,,12,182,389,,348,100,116,28,1268,127,,,290,525,,241,,,,,,,,,,,57,24,3,25
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,48.17,6.04,7.83,7.37,0.11,8.53,3.79,0.49,8.38,0.37,393,2111,12179,,10,206,385,,359,69,76,20,1218,107,,,301,566,,186,,,,,,,,,,,49,25,1,12
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,52.23,5.76,8.64,6.26,0.08,6.28,3.55,0.61,10.72,1,372,1235,10346,,13,161,392,,340,74,81,20,1297,118,,,241,445,,210,,,,,,,,,,,50,20,3,24
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,56.3,6.89,8.7,6.48,0.04,4.96,0.91,0.16,10,0.89,297,702,8777,,22,201,266,,240,104,87,20,1123,91,,,265,348,,,,,,,,,,,,,49,16,,18
Lustrino et al. 2016 JVGR,Australia,Anorogenic,Lamproite,51.6,4.9,8.1,6.78,0.07,7.07,3.09,0.32,7.8,1.13,1123,960,12933,,19,170,365,,304,92,78,,946,90,,,258,274,,,,,,,,,,,,,48,,,16
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.13,3.25,9.65,6.8154,0.08,7.49,4.28,1.95,11.9,1.33,330,1758,5505,1.946,15.6,94.8,275,29.51,244,33.81,105.5,24.71,1430,113.5,36.9,6.04,215.1,393,39.7,136.1,16.13,6.01,17.45,1.673,5.78,0.968,2.985,0.266,1.743,0.224,47,31.2,4.07,21.1
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.32,3.26,9.55,6.9042,0.09,7.88,4.38,1.9,11.45,1.18,352,1784,5631,2.045,16.8,95.9,281,30.1,252,32.67,98.1,25.12,1472,116.6,37.3,5.82,214.1,393,39.6,132.5,15.96,5.88,16.11,1.621,5.6,0.962,2.976,0.269,1.731,0.225,47.2,30.9,3.98,21.4
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.03,3.32,9.42,6.7599,0.1,7.77,4.39,1.9,11.54,1.22,338,1788,5681,2.026,16.2,93.1,280,30.78,257,32.34,1398.3,25.72,1493,117.4,37.7,5.79,218.9,399,40.4,137.9,16.25,5.95,16.24,1.63,5.64,0.946,2.919,0.265,1.671,0.223,92.7,31.6,4.05,21.8
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.4,3.35,9.46,7.0152,0.1,8.03,4.5,1.99,11,1.05,322,1784,5641,1.856,16,91.6,285,30.02,253,31.69,795.9,24.26,1448,114.1,36.9,5.61,210.7,391,39.1,134.6,16.3,6.03,16.55,1.622,5.41,0.914,2.799,0.255,1.647,0.211,70.6,30.6,3.98,21.1
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.21,3.36,9.36,7.4814,0.12,7.77,4.53,2.05,11.04,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.22,3.34,9.33,7.0929,0.1,8,4.38,1.81,11.39,1.15,337,1815,5765,1.892,16.6,96,290,31.4,264,34.62,400.1,25.67,1524,120.4,38.9,5.96,216.2,392,39.1,136.5,16.5,6.07,16.77,1.637,5.61,0.912,2.912,0.263,1.721,0.223,56.2,31.3,4.05,21.9
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),51.88,3.44,9.65,6.8598,0.08,7.91,4.72,1.84,11.17,1.14,298,1806,5663,1.373,14.2,96.3,262,29.72,235,31.01,1639.2,24.09,1072,107.6,26.8,5.24,211.3,384,38.7,135.3,16.49,5.89,15.44,1.572,5.54,0.915,2.749,0.254,1.62,0.211,97.9,27.4,3.33,19.4
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.13,3.33,9.45,6.9597,0.1,7.85,4.51,1.81,11.39,1.22,356,1915,5744,2.084,16.7,98.5,298,31.64,257,35.12,582.8,25.2,1555,122.2,39.6,6.1,226.2,416,42.1,142.8,16.78,6.18,16.98,1.635,5.62,0.946,2.913,0.271,1.673,0.216,66.9,32.7,4.24,22.8
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),53.41,3.32,10.43,6.9708,0.1,7.86,4.69,1.97,9.99,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.46,3.32,9.93,6.9486,0.11,7.92,4.61,1.67,10.88,1.05,302,1742,5445,1.595,14.3,91.6,272,29.76,246,30.91,850.6,24.19,1170,105.3,29.3,5.19,203.2,372,36.9,126.4,15.41,5.65,14.9,1.545,5.45,0.906,2.719,0.255,1.61,0.211,67.5,27.1,3.25,19.7
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),52.41,3.47,9.78,6.9153,0.11,8.01,4.8,2.24,10.31,0.68,291,1901,5705,1.542,14.4,101.2,283,29.92,237,29.55,92.9,24.45,1066,110.3,26.4,5.57,211,382,39.1,133.8,16.25,6,15.35,1.593,5.53,0.923,2.745,0.257,1.652,0.21,41.1,27.8,3.43,20
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),62.23,1.36,14.85,8.0031,0.11,1.21,3.71,2.99,5.06,0.45,215,330,1559,0.687,17.9,70.5,14,8.41,5,12.99,825.9,104.83,346,64.6,8.8,3.16,129.3,271,30.8,120.7,22.67,4.08,23.19,3.608,19.68,3.827,11.088,1.524,9.8,1.421,56.3,35.8,2.86,25.8
