Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Turkey West,Lamproite,43414.23,10009.98,599.0,2182.0,283.0,14.0,445.0,526.0,122.0,11.0,14.0,53.0
Orogenic,Turkey West,Lamproite,44493.36,10549.44,510.0,2138.36,273.0,24.0,549.0,545.0,120.0,5.0,26.0,52.0
Orogenic,Turkey West,Lamproite,48975.9,4855.14,1211.0,2749.32,159.0,32.7,2388.0,270.4,102.46,47.2,20.7,60.64
Orogenic,Turkey West,Lamproite,41837.04,7072.92,1049.0,3622.12,145.0,20.5,2687.0,264.5,95.69,15.75,28.1,49.44
Orogenic,Turkey West,Lamproite,56612.82,7672.32,1133.0,6022.32,291.0,24.8,2326.0,345.0,129.79,32.66,26.1,64.09
Orogenic,Turkey West,Lamproite,40010.82,2457.54,1628.0,829.16,141.0,28.5,1965.0,396.9,180.29,39.52,20.0,99.88
Orogenic,Turkey West,Lamproite,56197.77,7432.56,1193.0,5978.68,308.0,23.0,2284.0,479.4,146.16,33.36,34.0,74.75
Orogenic,Turkey West,Lamproite,56944.86,8871.12,902.0,5062.24,254.0,44.3,1853.0,697.6,112.19,12.04,26.3,49.12
Orogenic,Turkey West,Lamproite,102185.31,5034.96,2352.0,960.08,521.0,37.3,8156.0,498.3,149.33,47.49,21.8,85.83
Orogenic,Turkey West,Lamproite,68815.29,8031.96,975.0,7549.72,110.0,14.6,2196.0,242.0,51.34,10.09,16.4,28.77
Orogenic,Turkey West,Lamproite,59933.22,10009.98,850.0,3971.24,197.0,39.5,1446.0,680.7,148.37,16.64,22.5,74.82
Orogenic,Turkey West,Lamproite,35196.24,8571.42,2509.0,5280.44,57.0,70.8,1796.0,341.3,256.19,16.5,19.5,129.72
Orogenic,Turkey West,Lamproite,36358.38,7792.2,2613.0,5847.76,45.0,59.9,1524.0,294.8,248.05,22.98,16.5,134.31
Orogenic,Turkey West,Lamproite,38931.69,10189.8,2018.0,6676.92,95.0,120.5,1471.0,458.4,221.16,15.59,19.3,118.65
Orogenic,Turkey West,Lamproite,49889.01,9230.76,1047.0,4713.12,164.0,34.3,2210.0,730.7,141.95,18.75,33.5,81.13
Orogenic,Turkey West,Lamproite,49141.92,7372.62,940.0,3534.84,245.0,37.1,2008.0,680.7,126.02,21.47,29.3,68.09
Orogenic,Turkey West,Lamproite,49141.92,7912.08,800.0,3883.96,150.0,28.5,1818.0,500.9,108.92,15.01,23.3,57.33
Orogenic,Turkey West,Lamproite,48643.86,7792.2,900.0,3796.68,192.0,34.8,2159.0,660.9,119.35,19.1,29.0,67.37
Orogenic,Turkey West,Lamproite,48560.85,7432.56,829.0,3578.48,169.0,31.0,1867.0,507.6,118.31,16.3,24.5,58.46
Orogenic,Turkey West,Lamproite,42750.15,11868.12,835.0,3883.96,250.0,37.3,1023.0,574.8,118.6,22.2,21.1,49.1
Orogenic,Turkey West,Lamproite,45738.51,11808.18,900.0,4014.88,254.0,39.7,1095.0,606.5,124.2,24.2,21.9,53.0
Orogenic,Turkey West,Lamproite,41920.05,11868.12,861.0,4058.52,249.0,40.1,1111.0,616.7,124.2,23.2,22.1,52.8
Orogenic,Turkey West,Lamproite,48062.79,8571.42,520.0,2487.48,281.0,37.7,268.0,582.9,146.64,28.31,22.5,60.5
Orogenic,Turkey West,Lamproite,45157.44,8811.18,457.0,2312.92,272.0,33.1,289.0,499.0,137.0,23.5,23.0,54.0
Orogenic,Turkey West,Lamproite,56280.78,9710.28,728.0,4189.44,220.0,34.3,1492.0,662.7,159.6,15.0,23.7,74.0
Orogenic,Turkey West,Lamproite,56114.76,9710.28,781.0,4189.44,234.0,36.4,1537.0,694.3,173.1,14.9,25.8,78.8
Orogenic,Turkey West,Lamproite,56695.83,10549.44,682.0,4407.64,223.0,35.2,1484.0,748.9,162.3,16.3,24.6,76.5
Orogenic,Turkey West,Lamproite,56612.82,10609.38,726.0,4451.28,235.0,37.2,1587.0,778.5,169.9,17.9,26.3,81.4
Orogenic,Turkey West,Lamproite,55367.67,10129.86,801.0,4102.16,229.0,34.4,1473.0,720.9,159.7,15.3,23.3,75.3
Orogenic,Turkey West,Lamproite,58688.07,9230.76,836.0,4713.12,225.0,45.0,1832.0,734.0,112.0,13.2,29.2,51.0
Orogenic,Turkey West,Lamproite,60514.29,9890.1,683.0,2836.6,282.0,43.0,1007.0,831.0,163.0,17.7,28.6,75.0
Orogenic,W Alps ,Lamproite,49307.94,6293.7,825.0,4800.4,379.0,36.1,3950.0,463.0,219.0,135.0,29.0,86.7
Orogenic,W Alps ,Lamproite,61344.39,6893.1,829.0,5542.28,395.0,34.1,4293.0,593.0,273.0,155.0,32.0,117.0
Orogenic,W Alps ,Lamproite,53707.47,7132.86,756.0,5804.12,321.0,28.3,4213.0,472.0,256.0,127.0,32.0,107.0
Orogenic,W Alps ,Lamproite,76701.24,7852.14,799.0,4931.32,555.0,34.4,3797.0,665.0,260.0,134.0,31.0,106.0
Orogenic,W Alps ,Lamproite,75290.07,7432.56,550.0,4756.76,646.0,36.4,3533.0,638.0,256.0,135.0,29.0,97.6
Orogenic,W Alps ,Lamproite,50885.13,7072.92,790.0,5062.24,317.0,32.3,4400.0,359.2,291.74,125.58,28.1,123.57
Orogenic,W Alps ,Lamproite,71388.6,7432.56,847.0,4494.92,607.0,40.0,3514.0,665.4,254.07,137.36,27.9,95.06
Orogenic,W Alps ,Lamproite,71388.6,7432.56,847.0,4494.92,607.0,40.0,3514.0,665.4,254.07,137.36,27.9,95.06
Orogenic,W Alps ,Lamproite,59684.19,6353.64,821.0,4887.68,408.0,50.1,4406.0,732.9,300.48,162.53,32.7,124.85
Orogenic,W Alps ,Lamproite,50885.13,7072.92,790.0,5062.24,317.0,32.3,4400.0,359.2,291.74,125.58,28.1,123.57
Orogenic,France (Corsica - Sisco),Lamproite,84255.15,12887.1,847.0,2880.24,342.0,66.0,1230.0,1384.0,333.0,53.0,25.0,188.0
Orogenic,France (Corsica - Sisco),Lamproite,87077.49,14205.78,812.0,3578.48,343.0,66.0,1267.0,1351.0,302.0,41.0,26.0,183.0
Orogenic,France (Corsica - Sisco),Lamproite,85915.35,13846.14,681.0,3316.64,317.0,48.0,925.0,906.0,301.7,36.8,16.0,135.0
Orogenic,France (Corsica - Sisco),Lamproite,88820.7,14085.9,847.0,3098.44,376.0,64.0,1329.0,1302.0,344.0,43.0,27.0,193.0
Orogenic,France (Corsica - Sisco),Lamproite,89069.73,13606.38,640.0,2923.88,318.0,55.0,1450.0,1040.0,367.0,37.9,19.0,183.0
Orogenic,France (Corsica - Sisco),Lamproite,89069.73,13606.38,681.0,2923.88,317.0,57.8,925.0,995.9,301.7,36.82,16.3,135.02
Orogenic,Greece,Lamproite,30879.72,6413.58,759.0,4844.04,116.0,24.1,2520.0,322.0,67.4,14.3,17.0,30.6
Orogenic,Greece,Lamproitic rock,28804.47,5694.3,797.0,2749.32,134.0,20.4,2160.0,285.0,86.5,18.0,22.0,45.4
Orogenic,Greece,Lamproitic rock,41089.95,6953.04,538.0,2487.48,239.0,38.0,1130.0,407.0,126.0,34.5,20.0,53.8
Orogenic,Greece,Lamproitic rock,14277.72,4075.92,564.0,741.88,57.0,8.7,1090.0,98.0,47.7,8.3,18.0,25.5
Orogenic,Greece,Lamproitic rock,14858.79,5334.66,464.0,1527.4,78.0,10.6,927.0,120.0,33.9,6.5,17.0,16.2
Orogenic,Greece,Lamproitic rock,20918.52,6653.34,602.0,2923.88,71.0,24.2,1530.0,206.0,52.7,11.6,18.0,24.8
Orogenic,Greece,Lamproitic rock,13696.65,4015.98,574.0,829.16,54.0,11.3,830.0,122.0,46.5,9.5,7.0,23.7
Orogenic,Greece,Lamproitic rock,35113.23,2697.3,234.0,349.12,211.0,21.8,1530.0,375.0,173.0,51.9,25.0,95.3
Orogenic,Pannonian Basin,Lamproite,71969.67,17922.06,868.0,9382.6,205.0,68.0,2750.0,1243.0,258.0,16.3,21.54,125.0
Orogenic,China,Lamproite,37105.47,10069.92,1421.0,4233.08,790.0,47.3,3340.0,974.0,452.0,130.7,25.0,200.0
Orogenic,China,Lamproite,60846.33,9710.28,1564.0,3316.64,550.0,48.8,3931.0,994.0,456.0,131.9,25.2,200.0
Orogenic,China,Lamproite,66574.02,9470.52,1196.0,2923.88,576.0,34.0,2531.0,784.0,337.0,150.8,25.4,138.0
Orogenic,China,Lamproite,58023.99,8691.3,1633.0,3796.68,391.0,34.9,3452.0,962.0,364.0,112.0,25.8,165.0
Orogenic,China,Lamproite,52628.34,8571.42,1260.0,3927.6,611.0,46.4,3051.0,783.0,359.0,183.1,23.9,154.0
Orogenic,China,Lamproite,66823.05,9650.34,1207.0,3011.16,598.0,34.5,2537.0,787.0,329.0,152.0,24.1,133.0
Orogenic,China,Lamproite,68151.21,6353.64,1004.0,3054.8,939.0,54.2,2835.0,966.0,397.0,224.3,28.6,156.0
Orogenic,China,Lamproite,76120.17,7312.68,1370.0,2531.12,441.0,63.0,2369.0,990.0,469.0,145.1,19.9,241.0
Orogenic,China,Lamproite,72550.74,5514.48,930.0,2225.64,442.0,56.5,2869.0,340.0,418.0,153.0,16.9,204.0
Orogenic,China,Lamproite,67238.1,9590.4,810.0,5324.08,880.0,73.2,2989.0,1101.0,351.0,204.4,36.1,139.0
Orogenic,China,Lamproite,65743.92,9710.28,798.0,5324.08,702.0,68.5,2939.0,893.0,352.0,187.6,34.9,138.0
Orogenic,China,Lamproite,68815.29,9950.04,704.0,4625.84,784.0,66.3,2498.0,806.0,334.0,154.0,32.2,139.0
Orogenic,China,Lamproite,62257.5,9170.82,660.0,4058.52,712.0,54.9,2134.0,834.0,290.0,166.6,29.6,123.0
Orogenic,China,Lamproite,63253.62,9050.94,739.0,4102.16,781.0,57.9,2346.0,884.0,310.0,202.3,32.9,133.0
